hit,area,pmcid,section,pattern,family,match,verdict,supports,fp_category,note,sentence
17,A1_imaging,PMC8665348,FIG,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,The gray dotted lines with arrows illustrated the approximate data amount saved through transfer learning to reach the same accuracy.
18,A1_imaging,PMC8665348,DISCUSSION,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,The time is even shorter for transfer learning with fewer images.
19,A1_imaging,PMC8665348,DISCUSSION,S_robust,S,adversarial,FP,,HOMONYM,generative adversarial network,"If even higher authenticity of images is required, the ResUNet model may also be integrated into generative adversarial networks (GANs) as a generator like the existing studies of virtual image generation [[CIT] ]."
20,A1_imaging,PMC8665348,METHODS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"For the fine-tuning in transfer learning experiments, the initial learning rate was set as 0.0002 and decreased to 0.0001 after 25 epochs."
21,A1_imaging,PMC8665348,METHODS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"For clarity, in the initial training of the transfer learning process, all images in one dataset (e.g., the EC dataset containing 7560 images) were used for training."
22,A1_imaging,PMC8665348,METHODS,E_external,E,other datasets,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"Then the trained model was fine-tuned on other datasets using different ratios of the dataset (e.g., 1/2, 1/4, 1/8, and 1/16 of the SMC dataset containing 3780 images) to observe the efficiency of model transfer."
23,A1_imaging,PMC12796348,RESULTS,S_robust,S,robustness to,TP,S1,,accuracy re-tested under particle-height / coverslip-thickness variation,"Our DL model, trained on raw diffraction images collected from multiple No. 1 coverslips as substrates (manufacturing tolerance ±5–20 µm), achieved consistently high performance in particle detection ( ~ 99%) and code classification ( ~ 94%), indicating robustness to modest height variations."
24,A1_imaging,PMC12796348,RESULTS,S_robust,S,robust to,TP,S1,,accuracy re-tested under particle-height / coverslip-thickness variation,"Together, these results demonstrate that MIDAS is robust to the range of z-position variations expected under our assay conditions."
25,A1_imaging,PMC12796348,RESULTS,U3_calibration,U,calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,assay calibration curve,This intensity is then referenced against a calibration curve to determine the expression level of the corresponding target biomarker.
26,A1_imaging,PMC12796348,FIG,U1_spread,U,±,FP,,MEASUREMENT_REPLICATE_SPREAD,assay replicate SD,Data represent mean ± s.d. from two-three repeated tests. a.u. arbitrary unit.
27,A1_imaging,PMC12796348,METHODS,U3_calibration,U,calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,assay calibration curve,"Lastly, the algorithm computes the average pixel intensity inside a small area surrounding the detected particle, and this intensity is referenced against a calibration curve to determine target analyte concentration within the particle."
28,A1_imaging,PMC12796348,METHODS,U3_calibration,U,calibration curves,FP,,ANALYTICAL_CALIBRATION_CURVE,assay calibration curve,The average pixel intensity of stained particles is proportional to the concentration of target biomarkers in the samples through a series of calibration curves (protein targets shown in Fig. 4).
29,A1_imaging,PMC12796348,METHODS,U3_calibration,U,calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,assay calibration curve,Each pixel intensity is mapped back to the calibration curve to determine the protein concentration for each particle.
30,A2_property,PMC11106676,ABSTRACT,S_robust,S,perturbation,FP,,HOMONYM,perturbation theory (IFPTML),"In this work, the IFPTML technique, which combines information fusion (IF), perturbation theory (PT), and machine learning (ML), was employed to address this challenge."
31,A2_property,PMC11106676,INTRO,S_robust,S,perturbation,FP,,HOMONYM,perturbation theory (IFPTML),"As a new strategy to tackle this problem, González-Díaz et al. have developed IFPTML, a multioutput, and input-coded multilabel ML method, which stands for information fusion (IF) + perturbation theory (PT) + machine learning (ML) algorithm [[CIT] ]."
32,A2_property,PMC11106676,FIG,S_robust,S,perturbation,FP,,HOMONYM,perturbation theory (IFPTML),Steps 2.1 and 2.2: data collection (ChEMBL dataset of NDDs and NP cytotoxicity dataset); step 2.3: data pre-processing and information fusion (NP and NDD assays); step 2.4: definition of objective and reference functions; step 2.5: calculation of the perturbation theory operator (PTO).
33,A2_property,PMC11106676,RESULTS_DISCUSSION,S_robust,S,perturbations,FP,,HOMONYM,perturbation theory (IFPTML),"Afterwards, this model includes the effect of different deviations (perturbations) of the query function from the reference function."
34,A2_property,PMC11106676,RESULTS_DISCUSSION,S_robust,S,perturbations,FP,,HOMONYM,perturbation theory (IFPTML),The PT model begins with the expected value of a well-known activity and adds the effect of different perturbations/variations to the system.
35,A2_property,PMC11106676,TABLE,E_prospective,EP,experimentally tested,FP,,NOT_AN_EVALUATION,compounds tested in source assays,IFPTML analysis of experimentally tested N2D3S compounds.
36,A2_property,PMC9546622,RESULTS,S_robust,S,drift,FP,,HOMONYM,genetic drift in GA,"The cross-over and mutation rate are optimized to ensure that there is sufficient sampling of solutions, which prevents genetic drift while not leading to a loss of good solutions."
37,A2_property,PMC9546622,METHODS,E_prospective,EP,experimental validation,TP,EP,,de novo sequences synthesised and measured,Several de novo sequences from the ColGen-GA model were selected for synthesis and experimental validation.
38,A2_property,PMC11165469,ABSTRACT,S_robust,S,adversarial,FP,,HOMONYM,generative adversarial network,"Generative adversarial network (GAN) is then trained to characterize the relationship between stress or displacement field, and meta‐fiber distribution."
39,A2_property,PMC11165469,INTRO,S_robust,S,adversarial,FP,,HOMONYM,generative adversarial network,"Many types of DL methods have been employed in solid mechanics, such as U‐Net neural‐network, convolutional neural network (CNN), and generative adversarial network (GAN)."
40,A2_property,PMC11165469,METHODS,S_robust,S,adversarial,FP,,HOMONYM,generative adversarial network,The generation and discrimination abilities of GAN is improved by the round‐and‐round generative and adversarial processes.
41,A3_sensors,PMC11377509,METHODS,S_robust,S,robustness against,FP,,NOT_AN_EVALUATION,generic 'robust against overfitting',"A variety of ML models have been explored for their effectiveness in predicting tumor presence, and grades, including Ensemble Methods such as Random Forest, XGBoost, and LightGBM, were known for their robustness against overfitting and ability to handle complex datasets, as well as Artificial Neura"
42,A3_sensors,PMC11377509,METHODS,S_group,S,leave-one-out,FP,,SAMPLE_WISE_LOOCV,leave-one-out CV is not a group/shift split,"A leave-one-out cross-validation strategy was employed to train the models, ensuring their generalizability of the models and mitigating overfitting."
43,A3_sensors,PMC10407620,INTRO,E_prospective,EP,prepared and characterized,FP,,OTHER_WORK_CITED,,Xu et al.[CIT] presented a nano-enzymatic sensor based on ML and MWCNTs/GO/dendritic silver nanoparticles (AgNPs) prepared and characterized by voltammetry for the determination of benzoyl (BN) residues in tea and cucumber samples.
44,A3_sensors,PMC12499495,FIG,U3_calibration,U,Calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,signal-to-angle calibration,"a) Schematic diagram of three typical movements of the human cervical spine, including twisting to the left, twisting to the right, and bending forward. b) Optical images of the sensor array attached to the cervical spine for monitoring cervical spine conditions. c) PCB of the wireless monitoring sy"
45,A3_sensors,PMC12499495,RESULTS,U3_calibration,U,calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,signal-to-angle calibration,"To validate the feasibility, we qualitatively analyzed the three motion modes by our sensor array, simultaneously recorded the angle change of the cervical spine by placing an angulometer right in the middle position, and then obtained the calibration curve for angle prediction."
46,A3_sensors,PMC12499495,RESULTS,U3_calibration,U,calibration curve,FP,,ANALYTICAL_CALIBRATION_CURVE,signal-to-angle calibration,"By correlating the bending angles and electrical signal variation, we can get the calibration curve for calculating the bending angles (Figure 6f)."
47,A3_sensors,PMC12499495,RESULTS,U3_calibration,U,calibration curves,FP,,ANALYTICAL_CALIBRATION_CURVE,signal-to-angle calibration,"Based on the calibration curves and the resistance changes recorded from our sensor array, real‐time continuous bending and rotation angles can be calculated to monitor the cervical spine conditions and digitally mimic the clinical assessment of cervical spine movements, as shown in Figure 6g."
48,A3_sensors,PMC11348057,RESULTS_DISCUSSION,S_robust,S,aging,FP,,HOMONYM,vascular aging,"Furthermore, the characteristic peaks (contraction peak (P1) and reflection wave (P2)) could be observed, and the radial enhancement index (AI r = P2/P1) could be calculated, which is one of the important reference indicators to reflect arteriosclerosis and vascular aging for predicting potential ca"
49,A4_tissue,PMC11468966,TABLE,U1_spread,U,standard deviation,FP,,HOMONYM,GA mutation standard deviation (hyper-parameter),Random seed = 10 000 | Mutation standard deviation = 0.1.  | Random seed = 1.
50,A4_tissue,PMC11468966,METHODS,U3_calibration,U,calibration curves,FP,,ANALYTICAL_CALIBRATION_CURVE,release-assay calibration,"Absorbance was measured using a FLUOstar OPTIMA plate reader (BMG Labtech, Germany) and the percentage of BSA released at 5 min was calculated using adequate controls and validated calibration curves."
51,A4_tissue,PMC11085928,INTRO,S_robust,S,ageing,FP,,HOMONYM,ageing population,"The demand for these materials is rising due to an ageing population, increased risks of developing senile diseases, and the spread of such civilisational diseases as diabetes mellitus, osteoporosis, and cardiovascular diseases."
52,A4_tissue,PMC10070414,RESULTS,S_ood,S,extrapolation,TP,S1,,explicit test of spatial (input-size) extrapolation; borderline,"In this section, the spatial extrapolation of the as-trained CNN to modeling spinodal decomposition and thus deriving spinodal structure of large dimensions is demonstrated."
53,A4_tissue,PMC10070414,FIG,S_ood,S,extrapolation,TP,S1,,explicit test of spatial (input-size) extrapolation; borderline,Spatial extrapolation of the as-trained CNN to generating large spinodal structures.
54,A4_tissue,PMC10070414,DISCUSSION,S_ood,S,extrapolative,FP,,GENERIC_DISCUSSION,"known issue of temporal extrapolation, not tested","The problem can become even more serious when we predict into far future, i.e. extrapolative prediction along the time axis."
55,A4_tissue,PMC11170757,INTRO,U1_spread,U,SEM,FP,,HOMONYM,SEM = scanning electron microscope,"EasyOCR is a Python-based PyTorch library that uses a deep learning algorithm, resulting in great text recognition accuracy.[CIT] (iv) Finally, all the discernible pores and windows in the SEM images of the seven experimental groups were measured both manually and with Pore D2."
56,A5_autonomous,PMC12511971,ABSTRACT,E_prospective,EP,experimentally validated,TP,EP,,Pareto-optimal conditions run and compared with model,"Multiobjective Pareto optimization was subsequently used to identify conditions that maximize polymer production rate, and these conditions were experimentally validated to confirm the model accurately predicts optimal reaction conditions."
57,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,U1_spread,U,standard deviation,FP,,MEASUREMENT_REPLICATE_SPREAD,,Repeated experiments allowed the determination of reproducibility in terms of conversions (standard deviation of 0.02) and experimental M n values (standard deviation of 0.52 kDa).
58,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,experimentally verified,TP,EP,,Pareto-optimal conditions run and compared with model,Selected points on each Pareto front were then experimentally verified.
59,A5_autonomous,PMC12511971,TABLE,E_prospective,EP,Experimental Verification,TP,EP,,Pareto-optimal conditions run and compared with model,"Run 16: Comparison of Conversion Results for the Model, Linear Interpolation, and the Experimental Verification for Points Chosen from Pareto Optimization Case 1 Entry | [LLA]0/[BnOH]0/[DBU]0 | Time (s) | [DBU] (mM) | linear | KRLS | X batch | Xflow | M n,batch (kDa) | M n,flow (kDa) | Đ batch | Đ f"
60,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,experimental validation,TP,EP,,Pareto-optimal conditions run and compared with model,This experimental validation of the model and the fact that the Pareto front in Figure comprises points not captured by the experimental sample space validate this methodology as a useful way to increase production efficiency.
61,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,Experimental validation,TP,EP,,Pareto-optimal conditions run and compared with model,"Experimental validation in both cases matched well with equivalent batch reactions (Tables and , Figures S18 and S19)."
62,A5_autonomous,PMC12511971,TABLE,E_prospective,EP,Experimental Verification,TP,EP,,Pareto-optimal conditions run and compared with model,"Run 17: Comparison between Conversion Results for the Model, Linear Interpolation, and Experimental Verification for Points Chosen from Pareto Optimization Case 2 Entry | [LLA]0/ [BnOH]0/[DBU]0 | Time (s) | [DBU] (mM) | linear | KRLS | X batch | Xflow | M n,batch (kDa) | M n,flow (kDa) | Đ batch | Đ"
63,A5_autonomous,PMC12587402,INTRO,U2_acquisition,U,acquisition function,FP,,BACKGROUND_GENERAL,generic BO description with citation,"[CIT] By utilizing a probabilistic surrogate model that approximates the system’s behavior, the BO algorithm iteratively proposes new experiments based on a defined acquisition function, balancing exploitation and exploration of the design space."
64,A5_autonomous,PMC12587402,METHODS,U2_gp,U,Gaussian process,TP,U2,,GP surrogate in BO (uncertainty used internally),"Each objective was modeled by an independent Gaussian process (GP) using a Matern 5/2 kernel, and the length scales and output variance were determined using maximum likelihood estimation."
65,A5_autonomous,PMC12587402,METHODS,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"The batch size was set to five with a greedy strategy for suggesting multiple points (Kriging believer[CIT] ), the initialization consisted of 13 points, randomly sampled from a uniform distribution across the variable space."
66,A5_autonomous,PMC12587402,RESULTS_DISCUSSION,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"To enable the parallel execution of n experiments, a greedy strategy (Kriging Believer[CIT] ) is applied, which involves retraining the model n – 1 times on fantasized results."
67,A5_autonomous,PMC12587402,FIG,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"To enable parallel execution of n experiments, a greedy Kriging Believer strategy retrains the model n – 1 times on fantasized results."
68,A5_autonomous,PMC12587402,RESULTS_DISCUSSION,S_ood,S,extrapolating,FP,,NOT_ML,experimental caution about protein concentration,"These findings underscore that extrapolating results from low to high protein concentrations should be approached with caution, as no single property can reliably serve as a proxy for the others."
69,A5_autonomous,PMC11422183,ABSTRACT,E_prospective,EP,experimental validation,TP,EP,,,"Additionally, we develop a regression model and demonstrate its utility in predicting and analyzing the relationship between experimental parameters and hydrogel properties through experimental validation."
70,A5_autonomous,PMC11422183,METHODS,E_prospective,EP,fabricated and tested,FP,,MEASUREMENT_REPLICATE_SPREAD,replicates fabricated and tested,"For each experimental set X, at least three replicates were fabricated and tested."
71,A5_autonomous,PMC11422183,METHODS,U2_acquisition,U,expected improvement,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"Three acquisition types, expected improvement (EI), maximum probability of improvement (MPI) and lower confidence bound (LCB) were used."
72,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"In each iteration of the Bayesian optimization, three acquisition functions are used, including the EI, MPI and LCB."
73,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"These acquisition functions play a crucial role in the Bayesian optimization loop, iteratively guiding the exploration of the search space to efficiently locate the global optimum of the unknown objective function."
74,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,exploration and exploitation,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"Different sampling strategies strike a balance between exploration and exploitation, facilitating the efficient search for the global optimum."
75,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"After the dataset is imported to the algorithm, the three acquisition functions respectively derive the possible position X of the component with the best properties in the parameter space based on the existing data set."
76,A5_autonomous,PMC11422183,CONCLUSION,E_prospective,EP,experimental verification,TP,EP,,conclusion restating own experimental verification,"Further experimental verification shows that the predicted properties change trend by the model aligns with the properties change trend obtained experimentally, reflecting the practicality of the machine learning model."
77,A5_autonomous,PMC12157168,INTRO,U2_gp,U,Gaussian process,FP,,BACKGROUND_GENERAL,,"Among them, the Bayesian optimization (BO) algorithm is an iterative process in which unknown system responses are modelled using Gaussian process (GP) models."
78,A5_autonomous,PMC12157168,INTRO,U2_acquisition,U,acquisition function,FP,,BACKGROUND_GENERAL,,The GP models are then used to compute an acquisition function that assesses experimental design with regard to the set objectives [[CIT] ].
79,A5_autonomous,PMC12157168,METHODS,U3_calibration,U,well-calibrated,FP,U2,CLAIM_WITHOUT_ASSESSMENT,"'well-calibrated uncertainties' asserted for GP, calibration never assessed -> supports U2 only","More specifically, it models the data already acquired in previous steps of the optimization process and provides well-calibrated uncertainties for every prediction, which is crucial for the exploration strategy (choosing which areas to explore to improve model performance)."
80,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,The second major design decision for BO is the choice of an acquisition function.
81,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,"The ideal acquisition function should balance exploration against exploitation; that is, suggesting experiments that would improve the model accuracy versus experiments with high probability of finding an optimum based on the GP model’s optimal result predictions [[CIT] ]."
82,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition functions,TP,U2,,acquisition balancing exploration/exploitation,There exist different acquisition functions.
83,A5_autonomous,PMC12157168,METHODS,U2_probabilistic,U,posterior variance,TP,U2,,posterior variance,where κ 0 is an exploration-exploitation tradeoff parameter where lower κ is accompanied by BO favoring exploitation with function value near mean μ(x′) and higher κ favors exploration where uncertainty (or the posterior variance) is higher.
84,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,exploration-exploitation,TP,U2,,acquisition balancing exploration/exploitation,where κ 0 is an exploration-exploitation tradeoff parameter where lower κ is accompanied by BO favoring exploitation with function value near mean μ(x′) and higher κ favors exploration where uncertainty (or the posterior variance) is higher.
85,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,"As such, the acquisition function suggests optimal settings for the next experiment."
86,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 1: Model training from existing historical data to get the first-generation model | 107 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.14 ± 0.02R2 = 0.87.
87,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 2: Increase data set to improve predictions’ accuracy | 128 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.15 ± 0.04R2 = 0.9.
88,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 4: Reiteration of suggested experiments to improve prediction accuracy | 156 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.13 ± 0.02R2 = 0.91.
89,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,The model cross-validation shows R2 = 0.87 and RMSE = 0.14 ± 0.02.
90,A5_autonomous,PMC12157168,RESULTS,U2_acquisition,U,exploration and exploitation,TP,U2,,acquisition balancing exploration/exploitation,"In step 2, 10 experiments suggested by the Bayesian optimizer using a balanced optimization strategy (mixing the exploration and exploitation strategies) were conducted and generated 21 data points."
91,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"Out of 19 features (or excipients), 9 were impactful, and the model of the 9 FOI was generated, further improving R2 value from 0.90 to 0.91, and narrowing RMSE from 0.15 ± 0.04 to 0.15 ± 0.02."
92,A5_autonomous,PMC12157168,RESULTS,U2_acquisition,U,exploration-exploitation,TP,U2,,acquisition balancing exploration/exploitation,"In step 4, ChemAssistant® suggested 5 experiments using a balanced exploration-exploitation strategy by BO algorithm and 10 additional data points were generated."
93,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 4 model showed an improvement in RMSE from 0.15 ± 0.02 to 0.13 ± 0.02.
94,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"The final model generated from 202 datapoints, showed an improved model performance with an increase of R2 value from 0.91 to 0.93 and a decrease of RMSE from 0.13 ± 0.02 to 0.12 ± 0.01."
95,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Full Model | 156 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.13 ± 0.02R2 = 0.91.
96,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"The best selected model for this case was an XGBoost model, which demonstrated good cross-validation metrics: RMSE = 1.17 ± 0.17, R² = 0.75."
97,A5_autonomous,PMC12157168,DISCUSSION,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"These models achieved R2 values ranging from 0.87 to 0.93, and RMSE values from 0.14 ± 0.02 to 0.12 ± 0.01."
98,A5_autonomous,PMC12590431,ABSTRACT,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),"To address this gap, an integrated approach combining active learning (AL) based Gaussian process regression (GPR) with finite element (FE) modelling was developed to systematically explore the compaction parameter space and identify optimal process conditions."
99,A5_autonomous,PMC12590431,ABSTRACT,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),"This study demonstrated the potential of hybrid data-driven and first-principles modelling approaches as a robust strategy for optimising probiotic tabletting processes and accelerating pharmaceutical development.Keywords: Active learning, Finite element method, Gaussian process regression, Probioti"
100,A5_autonomous,PMC12590431,INTRO,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"This integrated approach iteratively improves the model performance by identifying new data points with the highest prediction uncertainty for further FE simulation, thereby efficiently refining the model's predictive capability regarding probiotic survival rate."
101,A5_autonomous,PMC12590431,METHODS,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),This section provides a detailed description of the AL-based Gaussian process regression (GPR) approach.
102,A5_autonomous,PMC12590431,METHODS,U2_uq,U,uncertainty of model,TP,U2,,prediction uncertainty used for active learning / reported,"One of the most commonly used criteria for selecting data points is the reduction of maximum uncertainty of model predictions ([CIT] ), which is usually measured using the standard deviation."
103,A5_autonomous,PMC12590431,METHODS,U2_acquisition,U,acquisition function,TP,U2,,prediction uncertainty used for active learning / reported,"At each iteration of AL, the trained surrogate model was used to predict the standard deviation of probiotic survival rates, enabling the selection of a new data point with the highest uncertainty using a maximum standard deviation acquisition function ([CIT] )."
104,A5_autonomous,PMC12590431,METHODS,U2_probabilistic,U,posterior distribution,TP,U2,,GPR surrogate (per-prediction SD available/used),"The new data point was computed using the FE model and subsequently added to the training dataset to retrain the surrogate model, aiming to refine its posterior distribution."
105,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),The GPR model was specifically chosen in this study due to its ability to handle small datasets and capture complex nonlinear relationships.
106,A5_autonomous,PMC12590431,METHODS,U2_uq,U,uncertainty quantification,TP,U2,,GPR surrogate (per-prediction SD available/used),"Additionally, it provides uncertainty quantification, which can seamlessly integrate with AL."
107,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),A GPR model can be specified by a mean function and a kernel function ([CIT] ):
108,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The kernel function is a key component of the GPR model, which serves as a measure of similarity between data points ([CIT] )."
109,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The choice of kernel function directly affects the performance of the GPR model, including both fitting capability and smoothness of the model prediction."
