hit,area,pmcid,section,pattern,family,match,verdict,supports,fp_category,note,sentence
42,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,"The ideal acquisition function should balance exploration against exploitation; that is, suggesting experiments that would improve the model accuracy versus experiments with high probability of finding an optimum based on the GP model’s optimal result predictions [[CIT] ]."
43,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition functions,TP,U2,,acquisition balancing exploration/exploitation,There exist different acquisition functions.
44,A5_autonomous,PMC12157168,METHODS,U2_probabilistic,U,posterior variance,TP,U2,,posterior variance,where κ 0 is an exploration-exploitation tradeoff parameter where lower κ is accompanied by BO favoring exploitation with function value near mean μ(x′) and higher κ favors exploration where uncertainty (or the posterior variance) is higher.
45,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,exploration-exploitation,TP,U2,,acquisition balancing exploration/exploitation,where κ 0 is an exploration-exploitation tradeoff parameter where lower κ is accompanied by BO favoring exploitation with function value near mean μ(x′) and higher κ favors exploration where uncertainty (or the posterior variance) is higher.
46,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,"As such, the acquisition function suggests optimal settings for the next experiment."
47,A5_autonomous,PMC12157168,METHODS,E_prospective,EP,never used in model,TP,EP,,test data never used in model generation,The final model was validated using the holdout method by comparing prediction data against a test dataset comprising of experimental data never used in model generation (S2 and S3 Table).
48,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 1: Model training from existing historical data to get the first-generation model | 107 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.14 ± 0.02R2 = 0.87.
49,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 2: Increase data set to improve predictions’ accuracy | 128 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.15 ± 0.04R2 = 0.9.
50,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 4: Reiteration of suggested experiments to improve prediction accuracy | 156 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.13 ± 0.02R2 = 0.91.
51,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,The model cross-validation shows R2 = 0.87 and RMSE = 0.14 ± 0.02.
52,A5_autonomous,PMC12157168,RESULTS,U2_acquisition,U,exploration and exploitation,TP,U2,,acquisition balancing exploration/exploitation,"In step 2, 10 experiments suggested by the Bayesian optimizer using a balanced optimization strategy (mixing the exploration and exploitation strategies) were conducted and generated 21 data points."
53,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"Out of 19 features (or excipients), 9 were impactful, and the model of the 9 FOI was generated, further improving R2 value from 0.90 to 0.91, and narrowing RMSE from 0.15 ± 0.04 to 0.15 ± 0.02."
54,A5_autonomous,PMC12157168,RESULTS,U2_acquisition,U,exploration-exploitation,TP,U2,,acquisition balancing exploration/exploitation,"In step 4, ChemAssistant® suggested 5 experiments using a balanced exploration-exploitation strategy by BO algorithm and 10 additional data points were generated."
55,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Step 4 model showed an improvement in RMSE from 0.15 ± 0.02 to 0.13 ± 0.02.
56,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"The final model generated from 202 datapoints, showed an improved model performance with an increase of R2 value from 0.91 to 0.93 and a decrease of RMSE from 0.13 ± 0.02 to 0.12 ± 0.01."
57,A5_autonomous,PMC12157168,TABLE,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,Full Model | 156 | Extra trees | N_estimators = 30Max_depth = 20 | RMSE = 0.13 ± 0.02R2 = 0.91.
58,A5_autonomous,PMC12157168,RESULTS,E_prospective,EP,new experimental data points,TP,EP,,22 new experiments,"The model was tested by using a test set, consisting of 22 new experimental data points that were never used in any steps of model development."
59,A5_autonomous,PMC12157168,RESULTS,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"The best selected model for this case was an XGBoost model, which demonstrated good cross-validation metrics: RMSE = 1.17 ± 0.17, R² = 0.75."
60,A5_autonomous,PMC12157168,DISCUSSION,U1_spread,U,±,TP,U1,,RMSE +/- SD from cross-validation,"These models achieved R2 values ranging from 0.87 to 0.93, and RMSE values from 0.14 ± 0.02 to 0.12 ± 0.01."
61,A5_autonomous,PMC12590431,ABSTRACT,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),"To address this gap, an integrated approach combining active learning (AL) based Gaussian process regression (GPR) with finite element (FE) modelling was developed to systematically explore the compaction parameter space and identify optimal process conditions."
62,A5_autonomous,PMC12590431,ABSTRACT,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),"This study demonstrated the potential of hybrid data-driven and first-principles modelling approaches as a robust strategy for optimising probiotic tabletting processes and accelerating pharmaceutical development.Keywords: Active learning, Finite element method, Gaussian process regression, Probioti"
63,A5_autonomous,PMC12590431,INTRO,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"This integrated approach iteratively improves the model performance by identifying new data points with the highest prediction uncertainty for further FE simulation, thereby efficiently refining the model's predictive capability regarding probiotic survival rate."
64,A5_autonomous,PMC12590431,METHODS,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),This section provides a detailed description of the AL-based Gaussian process regression (GPR) approach.
65,A5_autonomous,PMC12590431,METHODS,U2_uq,U,uncertainty of model,TP,U2,,prediction uncertainty used for active learning / reported,"One of the most commonly used criteria for selecting data points is the reduction of maximum uncertainty of model predictions ([CIT] ), which is usually measured using the standard deviation."
66,A5_autonomous,PMC12590431,METHODS,U2_acquisition,U,acquisition function,TP,U2,,prediction uncertainty used for active learning / reported,"At each iteration of AL, the trained surrogate model was used to predict the standard deviation of probiotic survival rates, enabling the selection of a new data point with the highest uncertainty using a maximum standard deviation acquisition function ([CIT] )."
67,A5_autonomous,PMC12590431,METHODS,U2_probabilistic,U,posterior distribution,TP,U2,,GPR surrogate (per-prediction SD available/used),"The new data point was computed using the FE model and subsequently added to the training dataset to retrain the surrogate model, aiming to refine its posterior distribution."
68,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),The GPR model was specifically chosen in this study due to its ability to handle small datasets and capture complex nonlinear relationships.
69,A5_autonomous,PMC12590431,METHODS,U2_uq,U,uncertainty quantification,TP,U2,,GPR surrogate (per-prediction SD available/used),"Additionally, it provides uncertainty quantification, which can seamlessly integrate with AL."
70,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),A GPR model can be specified by a mean function and a kernel function ([CIT] ):
71,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The kernel function is a key component of the GPR model, which serves as a measure of similarity between data points ([CIT] )."
72,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The choice of kernel function directly affects the performance of the GPR model, including both fitting capability and smoothness of the model prediction."
73,A5_autonomous,PMC12590431,METHODS,U2_acquisition,U,expected improvement,FP,,HYPERPARAMETER_BO,BO used only to tune GPR hyper-parameters,"Each BO run involved 30 iterations using the expected improvement plus (EI+) method, an enhanced expected improvement (EI) acquisition function ([CIT] ) that can avoid a local objective function minimum, to identify the optimal parameter set and ensure efficient model tuning."
74,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"To identify the potential parameter combinations that maximise the probiotic survival rate, the trained GPR model was used to predict survival rates across the design space."
75,A5_autonomous,PMC12590431,METHODS,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"To account for prediction uncertainty and identify a high-survival region rather than a single point, candidate points with predicted mean values within 99 % of the maximum were selected as the potential optimal region."
76,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),The survival rates of probiotic tablets compressed under varying precompression pressures (0–208 MPa) were compared against the GPR model predictions.
77,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"This section first presents an overview of the dataset used for GPR model training, describing its structure and key features."
78,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"In addition, it is evident that AL tends to allocate more sampling points near the boundaries of the parameter space for all variables, reflecting the higher prediction uncertainty in these regions."
79,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Furthermore, the initial GPR model was trained on the Sobol points (blue open circles), and during the subsequent AL process, the queried points (red solid circles) were mostly located away from these initial samples."
80,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"Since the essence of AL is to query points with the highest prediction uncertainty, the AL points naturally avoid regions surrounding the Sobol points."
81,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"This is because the model exhibited high prediction uncertainty in those regions, leading the AL algorithm to preferentially select multiple points within these regions to gradually reduce the uncertainty."
82,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Fig. 3 illustrates the trends of RMSE and R2 across different iterations of the GPR models during AL.
83,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Performance of GPR models across different iterations.
84,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"In this section, the AL-based GPR model developed in this study was used to predict probiotic survival rate for various main compression pressures (with experimental data reported in ([CIT] )) and precompression pressures."
85,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The probiotic survival rate under various main compression pressures at a fixed compression speed was experimentally measured and compared with the predictions generated by the GPR model, as shown in Fig. 4."
86,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Overall, however, the GPR-predicted values are in good agreement with the experimental results, accurately capturing the overall trend of decreasing survival rate with increasing compression pressure."
87,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Comparison of experimental survival rate and GPR predictions across varying main compression pressures under a fixed main compression speed (180 mm/min).
88,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),It should also be noted that a noticeable deviation was observed between the GPR model predictions and experimental results at higher precompression pressures.
89,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"This discrepancy arises because the GPR model primarily improves global uncertainty, and capturing variations in specific regions requires additional iterations to be fully resolved."
90,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Comparison of experimental survival rate (n = 6) and GPR predictions across varying precompression pressures under a fixed main compression pressure (208 MPa) and compression speed (180 mm/min).
91,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"In general, the GPR model demonstrates a strong ability to accurately capture the variation in probiotic survival rate across different compaction conditions."
92,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Nonetheless, the optimal conditions identified by experiments fall within the range predicted by the GPR model, with only minor differences."
93,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Fig. 6 illustrates the potential optimal regions for probiotic survival in three-dimensional compaction parameter space, as predicted by the trained GPR model."
94,A5_autonomous,PMC12590431,TABLE,U2_gp,U,GPR,TP,U2,,table of GPR mean +/- SD vs experiment (also EP),"Case | GPR survival rate(%, mean ± SD) | Experimental survival rate(%, mean ± SD). 6 (Optimal) | 100 ± 9.6 | 100.4 ± 12.8. 7 (Optimal) | 100 ± 9.8 | 99.5 ± 13.8."
95,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Nevertheless, the AL-driven GPR model proposed herein has been thoroughly validated, demonstrating its effectiveness."
96,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),A hybrid model integrating an AL-based Gaussian process regression model with FE modelling was developed to predict the survival rate of probiotics during tabletting.
97,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The GPR model was initially trained on a small dataset of simulated probiotic survival rates under a range of tabletting conditions (compression speed, precompression pressure and main compression pressure)."
98,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Through the AL framework, additional data points were iteratively selected for further FE simulations of probiotic viability to refine the GPR model by reducing the maximum uncertainty of its predictions at each iteration."
